UID,Status,Group,Title,Price,Qty,Title_Issue
,"Dup title",,"HP SPS-LCD RAW PANEL 15.6 AG FHD UWVA SLIM 819999-001 Replacement Screen Display",436.16,,"Line 93"
,"Dup title",,"HP SPS-LCD RAW PANEL 15.6 AG FHD SVA SLIM 809372-001 Replacement Screen Display",499,,"Line 85"
,"Dup title",,"HP SPS-LCD RAW PANEL 15.6 AG FHD UWVA SLIM 819999-001 Replacement Screen Display",436.16,,"Line 93"
,"Dup title",,"HP SPS-LCD PANEL 15.6 AG FHD UWVA SLIM TS 819998-001 Replacement Screen Display",353.23,,"Line 89"
433247,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP GNRC Panel 15.6"" HD BV WLED SVA eDP Slim TOP PF 809612-009 Replacement Screen Display",356.62,,"HP GNRC PNL15.6 HD BV WLED SVAeDPSlimTOP PF 809612-009 Replacement Screen Display"
433248,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP GNRC PNL15.6HD BV WLED SVA220 eDP slim PF 847654-002 Replacement Screen Display",316.97,,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim PF 847654-002 Replacement Screen Display"
,"Dup title",,"HP GNRC PNL15.6 HD BV WLED SVAeDPSlimTOP PF 809612-009 Replacement Screen Display",356.62,,"Line 103"
,"Dup title",,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim PF 847654-002 Replacement Screen Display",316.97,,"Line 104"
,"Dup title",,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim PF 847654-002 Replacement Screen Display",316.97,,"Line 104"
,"Dup title",,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim PF 847654-002 Replacement Screen Display",316.97,,"Line 104"
433249,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP GNRC PNL15.6HD BV WLED SVA220 eDP slim BA 847654-001 Replacement Screen Display",325.19,,"HP GNRC PNL15.6HD BV WLED SVA220 eDPSlim BA 847654-001 Replacement Screen Display"
433250,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display RAW PANEL 15.6"" BV HD 701688-001 Replacement Screen Display",285.14,,"HP SPS-DSPLY RAW PANEL 15.6 BV HD 701688-001 Replacement Screen Display"
433251,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 15.6"" BV HD TS2 SKB 735740-001 Replacement Screen Display",499,,"HP SPS-DSPLY HU 15.6 BV HD TS2 SKB 735740-001 Replacement Screen Display"
433252,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS LCD PANEL KIT 15.6"" AG FHD Touch Screen 859098-001 Replacement Screen Display",499,,"HP SPS-LCD PANEL KIT 15.6 AG FHD TS 859098-001 Replacement Screen Display"
433253,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS LCD PANEL KIT 15.6"" AG UHD Touch Screen 859099-001 Replacement Screen Display",499,,"HP SPS-LCD PANEL KIT 15.6 AG UHD TS 859099-001 Replacement Screen Display"
,"Dup title",,"HP SPS-LCD PANEL KIT 15.6 AG FHD TS 859098-001 Replacement Screen Display",499,,"Line 112"
,"Dup title",,"HP SPS-LCD PANEL KIT 15.6 AG UHD TS 859099-001 Replacement Screen Display",499,,"Line 113"
,"Dup title",,"HP SPS-LCD PANEL KIT 15.6 AG FHD TS 859098-001 Replacement Screen Display",499,,"Line 112"
,"Dup title",,"HP SPS-LCD PANEL KIT 15.6 AG UHD TS 859099-001 Replacement Screen Display",499,,"Line 113"
